Player:,Goal odds,Ass odds,CS odds,Goal odds_31,Ass odds_31,CS odds_31,Goal odds_32,Ass odds_32,CS odds_32,Goal odds_33,Ass odds_33,CS odds_33,Goal odds_34,Ass odds_34,CS odds_34,Goal odds_35,Ass odds_35,CS odds_35,Goal odds_35x,Ass odds_35x,CS odds_35x,Goal odds_36,Ass odds_36,CS odds_36,Goal odds_37,Ass odds_37,CS odds_37,Goal odds_38,Ass odds_38,CS odds_38
Aguero,2.05,5.0,,1.72,5.0,,1.9,5.0,,,5.0,,2,5.0,,2.4,5.0,,,5.0,,1.8,5.0,,2.2,5.0,,2,5.0,
Antonio,3.1,5.0,,2.75,5.0,,,5.0,,,5.0,,,5.0,,2.6,5.0,,,5.0,,2.87,5.0,,2.1,5.0,,2.15,4.5,
Aubameyang,2.25,6.0,4.33,1.9,5.0,2.0,2,5.0,2.2,,5.0,2.62,2.1,5.0,2.75,1.8,4.5,2.2,2.87,5.0,4.33,,4.5,,1.8,4.5,2.25,1.9,4.5,2.37
Bale,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,
Bamford,1.95,5.0,,3.25,13.0,,2.6,9.0,,2.5,9.0,,2.6,6.0,,2.37,6.0,,,6.0,,2.1,5.0,,2,5.0,,1.7,4.5,
Calvert-Lewin,2.5,5.0,,3,5.0,,2.75,5.0,,3,5.0,,2.25,5.0,,2.75,5.0,,2.6,5.0,,2,5.0,,2.1,5.0,,3.4,6.0,
Cancelo,12,8.0,2.25,8.5,8.0,2.1,11,8.0,2.0,,8.0,2.0,10,8.0,1.83,15,9.0,2.25,,8.0,,9,9.0,1.9,11,9.0,2.1,,9.0,2.25
Cavani,,,,,,,2.2,,,2.3,,,2.87,,,2.25,,,2.75,,,,,,2.1,,,2.6,,
De Breuyne,2.5,2.75,2.25,2.1,2.25,2.1,2.2,2.25,2.0,,2.25,2.0,2.4,2.5,1.83,3.1,3.0,2.25,,3.0,,,3.0,,2.6,3.0,,2.37,4.0,
Fernandes,2.37,3.0,2.37,2.75,3.0,3.4,2.2,2.75,1.9,2.3,2.75,3.25,2.87,4.0,3.75,2.25,4.0,2.75,2.75,4.0,3.0,,4.0,,2.1,3.5,2.0,2.75,4.0,3.75
Firmino,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,
Foden,2.87,4.5,2.25,2.37,4.5,2.1,2.5,4.5,2.0,,4.5,2.0,2.62,4.5,1.83,3.4,4.5,2.25,,4.5,,2.3,4.0,,2.6,4.0,,2.5,4.5,
Giroud,,,,,,,2,,,2.1,,,1.9,,,3.1,,,2.1,,,,,,2.3,,,2.1,,
Grealish,3.75,3.25,2.62,3.75,3.25,7.0,,3.25,8.0,,3.25,2.5,,3.25,4.33,,3.25,5.5,,3.25,,,3.25,3.25,4.5,4.0,8.0,4.75,5.0,6.5
Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,
Gündogan,2.37,4.5,2.25,2.1,4.5,2.1,2.3,4.5,2.0,,4.5,2.0,2.3,4.5,1.83,3,5.0,2.25,,5.0,,2,5.0,,2.3,5.0,,2.3,5.0,
H. Barnes,,4.5,6.5,,4.5,6.5,,4.5,2.0,,4.5,1.83,,4.5,1.8,,4.5,2.1,,4.5,3.75,,4.5,,,4.5,4.33,,5.0,3.5
Iheanacho,,,,,,,,,,2.1,,,2.25,,,2,,,3,,,,,,3.75,,,2.05,,
Ings,,7.0,,1.9,7.0,,2.3,7.0,,,7.0,,2.4,5.0,,2.87,5.0,,2,5.0,,1.83,5.0,,1.8,5.0,,2.4,5.0,
Jesus,2.37,4.5,,1.95,5.0,,2.1,5.0,,,5.0,,2.2,5.0,,2.75,5.0,,,5.0,,1.9,5.0,,2.2,5.0,,2.3,5.0,
Jimenez,,,,,,,,,,,,,,3.0,,,3.0,,,3.0,,,3.0,,,3.0,,,3.0,
Jota,2.25,4.5,3.4,1.95,4.0,2.5,1.9,4.0,3.25,1.75,4.0,1.83,2.4,5.0,3.75,1.72,4.5,2.1,2.2,5.0,3.5,1.72,4.5,1.83,,4.5,2.2,,4.5,1.8
Justin,,8.0,6.0,,8.0,3.25,,8.0,3.25,,8.0,3.25,,8.0,3.25,,8.0,3.25,,8.0,,,8.0,,,8.0,,,8.0,
Kane,1.57,3.0,,1.83,4.0,,1.57,3.5,,,3.5,,1.5,3.5,,1.61,3.5,,,3.5,,1.57,3.5,,1.6,3.0,,2,4.0,
Kane,1.57,3.0,,1.83,4.0,,1.57,,,,3.5,,1.5,3.5,,1.61,3.5,,,3.5,,1.57,3.5,,1.6,3.0,,2,4.0,
Lacazette,2.37,6.0,,2.05,6.0,,2.2,6.0,,,6.0,,2,6.0,,1.83,6.0,,3,6.0,,,6.0,,1.85,6.0,,1.9,5.0,
Lingard,,,,,,,2.6,,,3,,,2.25,,,2.25,,,,,,2.5,,,1.83,,,2.1,,
Mahrez,2.87,4.0,2.25,2.37,3.75,2.1,2.5,3.75,2.0,,3.75,2.0,2.62,3.75,1.83,3.4,3.75,2.25,,3.75,,2.3,4.0,,2.6,4.0,,2.5,4.5,
Mané,2.5,4.5,3.4,2.2,3.5,2.5,2.1,3.5,3.25,1.95,3.5,1.83,2.75,4.5,3.75,1.95,4.0,2.1,2.4,4.5,3.5,1.9,4.0,,1.9,4.0,,1.8,3.0,
Martial,2.37,5.0,,,5.0,,,5.0,,,5.0,,,5.0,,,5.0,,,5.0,,,5.0,,,5.0,,,5.0,
Martinez,,,2.62,,,7.0,,,8.0,,,2.5,,,4.33,,,5.5,,,3.4,,,3.25,,,7.0,,,7.0
Maupay,3.25,6.0,,2.4,6.0,,3.4,6.0,,2.25,6.0,,2.25,5.0,,2.5,5.0,,,5.0,,,5.0,,,5.0,,,5.0,
McCarthy,,,2.5,,,2.75,,,5.5,,,5.5,,,4.33,,,11.0,,,3.25,,,2.62,,,4.5,,,6.0
Raphinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,
Rashford,2.37,5.0,2.37,2.75,5.0,3.4,2.2,5.0,1.9,2.3,5.0,3.25,3.25,5.0,3.75,2.6,4.0,2.75,3,5.0,3.0,,4.0,,2.2,4.0,,3.1,4.5,
Richarlisson,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,
Robertson,15,5.0,3.4,13,5.0,2.5,12,5.0,3.25,12,5.0,1.83,17,9.0,3.75,12,9.0,2.1,15,12.0,3.5,12,7.0,,11,7.0,,9.5,6.0,
Rodriguez,3.6,5.0,2.1,4.75,3.5,3.5,4.33,3.5,3.75,4.75,3.5,4.0,3.5,3.5,2.62,4.33,3.5,4.0,5,3.5,3.75,3.1,3.5,1.83,3.75,3.5,2.37,,5.0,7.0
Salah,1.8,4.5,3.4,1.61,3.5,2.5,1.57,3.5,3.25,1.55,3.5,1.83,2.1,4.5,3.75,1.44,4.0,2.1,1.9,4.5,3.5,1.45,4.0,,1.45,4.0,,1.4,3.0,
Son,1.95,3.0,2.25,2.37,4.0,3.75,2,3.5,2.65,,3.5,2.65,1.8,3.0,1.8,2,3.0,3.4,,3.0,,1.9,3.0,2.0,1.9,3.0,2.5,2.5,3.5,5.0
Son,1.95,3.0,2.25,2.37,4.0,3.75,2,,,,3.5,2.65,1.8,3.0,1.8,2,3.0,3.4,,3.0,,1.9,3.0,2.0,1.9,3.0,2.5,2.5,3.5,5.0
Sterling,2.5,4.5,2.25,2.1,3.0,2.1,2.2,3.0,2.0,,3.0,2.0,2.3,3.0,1.83,3.1,3.0,2.25,,3.0,,2.1,4.0,,2.5,4.5,,2.37,4.5,
TAA,8.5,5.0,3.4,7.5,5.0,2.5,7,5.0,3.25,6,5.0,1.83,9,7.0,3.75,6,7.0,2.1,8,10.0,3.5,5.5,7.0,,5,7.0,,5,6.0,
Torres,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,
Trossard,5,8.0,5.5,3.75,8.0,2.62,5.5,8.0,5.0,3.4,8.0,2.0,3.5,5.0,3.0,3.75,5.0,2.62,,5.0,,4,5.0,3.4,5.5,6.0,7.0,4.5,6.0,5.5
Van Dijk,,,3.4,,,2.5,,,3.25,,,1.83,,,3.75,,,2.1,,,,,,,,,,,,
Vardy,2.75,4.0,,2,3.0,,1.8,3.0,,1.66,3.0,,2.1,3.5,,1.61,3.0,,2.3,4.5,,,3.0,,3.75,4.0,,2.05,4.0,
Watkins,2.6,6.0,,3.1,6.0,,4,6.0,,2.3,6.0,,2.87,5.0,,2.87,5.0,,2.6,5.0,,2.4,5.0,,3.1,5.0,,3.4,5.0,
Werner,2.05,4.0,,2.5,4.0,,2.4,4.0,,2.62,4.0,,2.3,4.0,,4,4.5,,2.62,4.0,,,4.5,,2.5,4.5,,2.25,5.0,
Wilson,,,,2.87,,,2.75,5.0,,4,5.0,,2.6,5.0,,3.5,5.0,,,5.0,,,5.0,,,5.0,,,5.0,
Wood,2.87,5.0,,2.62,5.0,,3.75,5.0,,3.2,5.0,,2.6,5.0,,2.75,5.0,,,5.0,,2.25,5.0,,3.2,5.0,,2.3,5.0,
Zaha,4.5,9.0,4.0,4.5,6.0,5.5,4.5,6.0,5.5,3,5.0,5.0,5,5.0,8.0,3.2,5.0,2.75,3,5.0,3.5,3.1,4.5,3.75,3.75,4.5,6.5,5,6.0,15.0
